# Pathway	MSM5FZ9X_P_Coverage
PWY-6703: preQ0 biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000087
PWY-2941: L-lysine biosynthesis II	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000013
HSERMETANA-PWY: L-methionine biosynthesis III	0.0000000000
PWY-4981: L-proline biosynthesis II (from arginine)	0.0000000000
PPGPPMET-PWY: ppGpp biosynthesis	0.0000000000
TCA: TCA cycle I (prokaryotic)	0.0000000000
PWY-621: sucrose degradation III (sucrose invertase)	0.0000000000
PWY490-3: nitrate reduction VI (assimilatory)	0.0000000000
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	0.0000000000
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0.0000000000
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	0.0000000000
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.0000000000
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	0.0000000000
PWY-5690: TCA cycle II (plants and fungi)	0.0000000000
GLYOXYLATE-BYPASS: glyoxylate cycle	0.0000000000
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Escherichia.s__Escherichia_coli	0.3356216409
PWY-5913: TCA cycle VI (obligate autotrophs)	0.0000000000
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Escherichia.s__Escherichia_coli	0.2209114378
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	0.0000000000
