# Pathway	ESM5GEYY_P_Coverage
PWY-6305: putrescine biosynthesis IV|g__Odoribacter.s__Odoribacter_splanchnicus	0.0001142962
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000162516
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000000
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.0000000000
PWY-4984: urea cycle	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000
P42-PWY: incomplete reductive TCA cycle	0.0000000000
HSERMETANA-PWY: L-methionine biosynthesis III	0.0000000000
P122-PWY: heterolactic fermentation	0.0000000000
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000
P108-PWY: pyruvate fermentation to propanoate I	0.0000000000
P161-PWY: acetylene degradation	0.0000000000
PWY66-399: gluconeogenesis III	0.0000000000
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.0000000000
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0.0000000000
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I	0.0000000000
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	0.0000000000
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.0000000000
PWY-622: starch biosynthesis	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Escherichia.s__Escherichia_coli	0.0024855066
PWY-6897: thiamin salvage II	0.0000000000
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.0000000000
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.0000000000
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	0.0000000000
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation|g__Escherichia.s__Escherichia_coli	0.0018677823
COA-PWY: coenzyme A biosynthesis I	0.0000000000
COA-PWY: coenzyme A biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000000000
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.0000000000
PWY-3781: aerobic respiration I (cytochrome c)	0.0000000000
PWY-2723: trehalose degradation V	0.0000000000
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	0.0000000000
