# Pathway	MSM5LLH8_P_Coverage
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_clarus	0.0000000016
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0.0010396433
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_copri	0.2506579312
PWY0-1296: purine ribonucleosides degradation	0.0000000000
PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.2324484332
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.0000000000
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000004267
PWY-7234: inosine-5'-phosphate biosynthesis III	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0000000000
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Alistipes.s__Alistipes_shahii	0.3789338825
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0.0000005153
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0.0003880194
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0695504709
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.0000000000
PWY-6527: stachyose degradation	0.0000000000
PWY-6527: stachyose degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0006567100
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	0.0000000000
HISTSYN-PWY: L-histidine biosynthesis	0.0000000000
HISTSYN-PWY: L-histidine biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	0.0000000000
PWY-4984: urea cycle	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.2602583208
PWY66-422: D-galactose degradation V (Leloir pathway)	0.0000000000
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.2602583208
PWY-6305: putrescine biosynthesis IV	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000
PWY-3781: aerobic respiration I (cytochrome c)	0.0000000000
PWY-5177: glutaryl-CoA degradation	0.0000000000
PWY-5177: glutaryl-CoA degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0248530414
PWY-6901: superpathway of glucose and xylose degradation	0.0000000000
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0000000000
PWY-5723: Rubisco shunt	0.0000000000
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.0000000000
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.0000000000
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0063349940
PWY-4981: L-proline biosynthesis II (from arginine)	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0000000000
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	0.0000000000
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.0000000000
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0000000000
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0.0000000000
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.0000000000
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000
P108-PWY: pyruvate fermentation to propanoate I	0.0000000000
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
HSERMETANA-PWY: L-methionine biosynthesis III	0.0000000000
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0000000000
P42-PWY: incomplete reductive TCA cycle	0.0000000000
PWY-6270: isoprene biosynthesis I	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000000
PWY-7560: methylerythritol phosphate pathway II	0.0000000000
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.0000000000
PWY-6897: thiamin salvage II	0.0000000000
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.0000000000
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.0000000000
